protein_id,length,A_frac,G_frac,V_frac,L_frac
NP_414542.1,21,0.047619047619047616,0.14285714285714285,0.0,0.0
NP_414543.1,820,0.11097560975609756,0.07682926829268293,0.08414634146341464,0.10853658536585366
NP_414544.1,310,0.11935483870967742,0.08709677419354839,0.07419354838709677,0.1
NP_414545.1,428,0.10981308411214953,0.06542056074766354,0.0630841121495327,0.1261682242990654
NP_414546.1,98,0.07142857142857142,0.11224489795918367,0.05102040816326531,0.07142857142857142
NP_414547.1,258,0.07364341085271318,0.05426356589147287,0.027131782945736434,0.12015503875968993
NP_414548.1,476,0.11764705882352941,0.09453781512605042,0.06932773109243698,0.11134453781512606
NP_414549.1,317,0.12302839116719243,0.05362776025236593,0.050473186119873815,0.10410094637223975
NP_414550.1,195,0.08205128205128205,0.07179487179487179,0.09230769230769231,0.10256410256410256
NP_414551.1,188,0.10638297872340426,0.14361702127659576,0.047872340425531915,0.16489361702127658
NP_414552.1,237,0.08016877637130802,0.07172995780590717,0.05907172995780591,0.16455696202531644
NP_414554.1,134,0.09701492537313433,0.04477611940298507,0.04477611940298507,0.09701492537313433
NP_414555.1,638,0.109717868338558,0.07366771159874608,0.07366771159874608,0.07523510971786834
NP_414556.1,376,0.07180851063829788,0.14095744680851063,0.06648936170212766,0.061170212765957445
NP_414557.1,370,0.12972972972972974,0.07837837837837838,0.03783783783783784,0.12702702702702703
NP_414559.1,69,0.11594202898550725,0.014492753623188406,0.14492753623188406,0.07246376811594203
NP_414560.1,388,0.12628865979381443,0.09278350515463918,0.08247422680412371,0.16494845360824742
NP_414561.1,301,0.07641196013289037,0.059800664451827246,0.06976744186046512,0.10963455149501661
NP_414562.1,167,0.03592814371257485,0.0658682634730539,0.0718562874251497,0.10778443113772455
NP_414563.1,91,0.07692307692307693,0.0989010989010989,0.054945054945054944,0.054945054945054944
NP_414564.1,87,0.21839080459770116,0.022988505747126436,0.022988505747126436,0.034482758620689655
NP_414565.1,72,0.1111111111111111,0.09722222222222222,0.041666666666666664,0.125
NP_414566.1,313,0.08945686900958466,0.0926517571884984,0.08306709265175719,0.134185303514377
NP_414567.1,938,0.09808102345415778,0.07995735607675906,0.07889125799573561,0.08208955223880597
NP_414568.1,164,0.10975609756097561,0.09146341463414634,0.07317073170731707,0.13414634146341464
NP_414569.1,149,0.08053691275167785,0.087248322147651,0.06040268456375839,0.10738255033557047
NP_414570.1,316,0.0949367088607595,0.06962025316455696,0.11708860759493671,0.07278481012658228
NP_414571.1,304,0.12828947368421054,0.07236842105263158,0.07894736842105263,0.11842105263157894
NP_414572.1,273,0.14652014652014653,0.11721611721611722,0.0695970695970696,0.08791208791208792
NP_414573.1,382,0.10209424083769633,0.08638743455497382,0.060209424083769635,0.09424083769633508
NP_414574.1,1073,0.1043802423112768,0.07735321528424977,0.08760484622553588,0.07735321528424977
NP_414576.4,131,0.04580152671755725,0.030534351145038167,0.08396946564885496,0.0916030534351145
NP_414577.2,196,0.07653061224489796,0.12244897959183673,0.09693877551020408,0.08163265306122448
NP_414578.2,261,0.13793103448275862,0.08812260536398467,0.06513409961685823,0.09578544061302682
NP_414579.4,517,0.07930367504835589,0.06576402321083172,0.059961315280464215,0.08123791102514506
NP_414580.1,405,0.09135802469135802,0.08888888888888889,0.04691358024691358,0.08148148148148149
NP_414581.1,380,0.09473684210526316,0.09210526315789473,0.060526315789473685,0.07631578947368421
NP_414582.1,504,0.07936507936507936,0.07738095238095238,0.07936507936507936,0.11507936507936507
NP_414583.2,256,0.15234375,0.05859375,0.078125,0.0859375
NP_414584.1,313,0.14376996805111822,0.07987220447284345,0.07667731629392971,0.08626198083067092
NP_414585.1,428,0.11214953271028037,0.10514018691588785,0.08177570093457943,0.10747663551401869
NP_414586.1,95,0.07368421052631578,0.10526315789473684,0.10526315789473684,0.09473684210526316
NP_414587.1,443,0.08126410835214447,0.1038374717832957,0.07223476297968397,0.12415349887133183
NP_414588.1,176,0.09090909090909091,0.07954545454545454,0.028409090909090908,0.11363636363636363
NP_414589.1,620,0.11290322580645161,0.08387096774193549,0.07258064516129033,0.1532258064516129
NP_414590.1,159,0.08176100628930817,0.06289308176100629,0.06918238993710692,0.06918238993710692
NP_414591.1,280,0.08571428571428572,0.08214285714285714,0.04642857142857143,0.13214285714285715
NP_414592.1,125,0.048,0.096,0.104,0.064
NP_414593.1,273,0.08791208791208792,0.054945054945054944,0.08791208791208792,0.0989010989010989
NP_414594.1,329,0.11246200607902736,0.0911854103343465,0.08206686930091185,0.13069908814589665
NP_414595.1,428,0.11214953271028037,0.06074766355140187,0.05841121495327103,0.08644859813084112
NP_414596.1,784,0.0625,0.06887755102040816,0.06377551020408163,0.06887755102040816
NP_414597.1,271,0.1033210332103321,0.0996309963099631,0.04797047970479705,0.08118081180811808
NP_414600.1,219,0.091324200913242,0.0502283105022831,0.0821917808219178,0.091324200913242
NP_414601.1,968,0.0878099173553719,0.05578512396694215,0.05991735537190083,0.12086776859504132
NP_414602.1,783,0.07151979565772669,0.07279693486590039,0.0561941251596424,0.10344827586206896
NP_414603.1,231,0.09090909090909091,0.08225108225108226,0.09090909090909091,0.06926406926406926
NP_414604.1,500,0.086,0.078,0.07,0.096
NP_414605.1,566,0.13957597173144876,0.07597173144876325,0.06890459363957598,0.08657243816254417
NP_414606.1,292,0.07191780821917808,0.07191780821917808,0.05136986301369863,0.10616438356164383
NP_414607.1,254,0.08267716535433071,0.09448818897637795,0.08267716535433071,0.17716535433070865
NP_414608.1,232,0.09051724137931035,0.08620689655172414,0.0603448275862069,0.15517241379310345
NP_414609.1,536,0.11194029850746269,0.061567164179104475,0.07649253731343283,0.1921641791044776
NP_414610.1,327,0.1162079510703364,0.0581039755351682,0.08256880733944955,0.11314984709480122
NP_414611.1,551,0.06715063520871144,0.0544464609800363,0.043557168784029036,0.1306715063520871
NP_414613.1,201,0.10945273631840796,0.06467661691542288,0.05970149253731343,0.08955223880597014
NP_414614.1,466,0.11802575107296137,0.10085836909871244,0.07510729613733906,0.06437768240343347
NP_414615.4,363,0.1184573002754821,0.0881542699724518,0.049586776859504134,0.09641873278236915
NP_414616.1,523,0.11663479923518165,0.06692160611854685,0.08795411089866156,0.06883365200764818
